,",",<,*,short,<=,return,!=,do,(,$,+=,&&,break,>=,%=,else,},=,INT8,-,INT10,:,IDN,if,for,||,double,while,-=,void,/=,%,float,],),;,default,continue,*=,STR,case,int,char,INT16,switch,long,#,CHAR,>,+,FLOAT,==,/,{,!,[
lop,error,error,error,error,error,error,error,error,error,error,error,[' &&'],error,error,error,error,error,error,error,error,error,error,error,error,error,[' ||'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
arg,"[' , type IDN arg']",error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
stmts,error,error,error,error,error,[' stmt stmts'],error,[' stmt stmts'],[' stmt stmts'],[' $'],error,error,[' stmt stmts'],error,error,error,error,error,[' stmt stmts'],error,[' stmt stmts'],error,[' stmt stmts'],[' stmt stmts'],[' stmt stmts'],error,error,[' stmt stmts'],error,error,error,error,error,error,error,error,error,[' stmt stmts'],error,[' stmt stmts'],error,error,error,[' stmt stmts'],[' stmt stmts'],error,error,[' stmt stmts'],error,error,[' stmt stmts'],error,error,error,error,error
case_stmt,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' case const : stmts'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
func,error,error,error,[' type IDN ( args ) func_body'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' type IDN ( args ) func_body'],error,error,[' type IDN ( args ) func_body'],error,error,[' type IDN ( args ) func_body'],error,error,error,error,error,error,error,error,[' type IDN ( args ) func_body'],[' type IDN ( args ) func_body'],error,error,[' type IDN ( args ) func_body'],error,error,error,error,error,error,error,error,error,error
es,error,error,error,error,error,error,error,error,[' isnull_expr isnull_es'],[' isnull_expr isnull_es'],error,error,error,error,error,error,error,error,[' isnull_expr isnull_es'],error,[' isnull_expr isnull_es'],error,[' isnull_expr isnull_es'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' isnull_expr isnull_es'],error,error,error,[' isnull_expr isnull_es'],error,error,error,[' isnull_expr isnull_es'],error,error,[' isnull_expr isnull_es'],error,error,error,error,error
args,error,error,error,[' type IDN arg'],error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' type IDN arg'],error,error,[' type IDN arg'],error,error,[' type IDN arg'],error,error,error,error,error,error,error,error,[' type IDN arg'],[' type IDN arg'],error,error,[' type IDN arg'],error,error,error,error,error,error,error,error,error,error
isnull_es,"[' , isnull_expr isnull_es']",error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
case_stmts,error,error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' case_stmt case_stmts'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
block_stmt,error,error,error,error,error,[' stmts'],error,[' stmts'],[' stmts'],[' stmts'],error,error,[' stmts'],error,error,error,error,error,[' stmts'],error,[' stmts'],error,[' stmts'],[' stmts'],[' stmts'],error,error,[' stmts'],error,error,error,error,error,error,error,error,error,[' stmts'],error,[' stmts'],error,error,error,[' stmts'],[' stmts'],error,error,[' stmts'],error,error,[' stmts'],error,error,[' { stmts }'],error,error
isnull_expr,error,error,error,error,error,error,error,error,[' expression'],[' $'],error,error,error,error,error,error,error,error,[' expression'],error,[' expression'],error,[' expression'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' expression'],error,error,error,[' expression'],error,error,error,[' expression'],error,error,[' expression'],error,error,error,error,error
default_stmt,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' default : stmts'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
expression,error,error,error,error,error,error,error,error,[' value operation'],error,error,error,error,error,error,error,error,error,[' value operation'],error,[' value operation'],error,[' value operation'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' value operation'],error,error,error,[' value operation'],error,error,error,[' value operation'],error,error,[' value operation'],error,error,error,error,error
type,error,error,error,[' short'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' double'],error,error,[' void'],error,error,[' float'],error,error,error,error,error,error,error,error,[' int'],[' char'],error,error,[' long'],error,error,error,error,error,error,error,error,error,error
block,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' { define_stmts stmts }'],error,error
bool_expression,error,error,error,error,error,error,error,error,error,[' $'],error,[' lop expression bool_expression'],error,error,error,error,error,error,error,error,error,error,error,error,error,[' lop expression bool_expression'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
item_,error,error,[' * factor item_'],error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' % factor item_'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' / factor item_'],error,error,error
result,error,error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,[' else block_stmt'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
funcs,error,error,error,[' func funcs'],error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' func funcs'],error,error,[' func funcs'],error,error,[' func funcs'],error,error,error,error,error,error,error,error,[' func funcs'],[' func funcs'],error,error,[' func funcs'],error,error,error,error,error,error,error,error,error,error
define_stmt,error,error,error,[' type IDN init vars ; define_stmts'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' type IDN init vars ; define_stmts'],error,error,[' type IDN init vars ; define_stmts'],error,error,[' type IDN init vars ; define_stmts'],error,error,error,error,error,error,error,error,[' type IDN init vars ; define_stmts'],[' type IDN init vars ; define_stmts'],error,error,[' type IDN init vars ; define_stmts'],error,error,error,error,error,error,error,error,error,error
value,error,error,error,error,error,error,error,error,[' item value_'],error,error,error,error,error,error,error,error,error,[' item value_'],error,[' item value_'],error,[' item value_'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' item value_'],error,error,error,[' item value_'],error,error,error,[' item value_'],error,error,[' item value_'],error,error,error,error,error
factor,error,error,error,error,error,error,error,error,[' ( value )'],error,error,error,error,error,error,error,error,error,[' const'],error,[' const'],error,[' IDN call_func'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' const'],error,error,error,[' const'],error,error,error,[' const'],error,error,[' const'],error,error,error,error,error
isnull_expr1,error,error,error,[' type IDN = INT10'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' type IDN = INT10'],error,error,[' type IDN = INT10'],error,error,[' type IDN = INT10'],error,error,error,error,error,error,error,error,[' type IDN = INT10'],[' type IDN = INT10'],error,error,[' type IDN = INT10'],error,error,error,error,error,error,error,error,error,error
compare_op,error,[' <'],error,error,[' <='],error,[' !='],error,error,error,error,error,error,[' >='],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' >'],error,error,[' =='],error,error,error,error
jump_stmt,error,error,error,error,error,[' return isnull_expr ;'],error,error,error,error,error,error,[' break ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' continue ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
assign_stmt,error,error,error,error,error,error,error,error,[' expression ;'],error,error,error,error,error,error,error,error,error,[' expression ;'],error,[' expression ;'],error,[' expression ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' expression ;'],error,error,error,[' expression ;'],error,error,error,[' expression ;'],error,error,[' expression ;'],error,error,error,error,error
stmt,error,error,error,error,error,[' jump_stmt'],error,[' iteration_stmt'],[' assign_stmt'],error,error,error,[' jump_stmt'],error,error,error,error,error,[' assign_stmt'],error,[' assign_stmt'],error,[' assign_stmt'],[' branch_stmt'],[' iteration_stmt'],error,error,[' iteration_stmt'],error,error,error,error,error,error,error,error,error,[' jump_stmt'],error,[' assign_stmt'],error,error,error,[' assign_stmt'],[' branch_stmt'],error,error,[' assign_stmt'],error,error,[' assign_stmt'],error,error,error,error,error
define_stmts,error,error,error,[' define_stmt define_stmts'],error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' define_stmt define_stmts'],error,error,[' define_stmt define_stmts'],error,error,[' define_stmt define_stmts'],error,error,error,error,error,error,error,error,[' define_stmt define_stmts'],[' define_stmt define_stmts'],error,error,[' define_stmt define_stmts'],error,error,error,error,error,error,error,error,error,error
logical_expression,error,error,error,error,error,error,error,error,[' expression bool_expression'],error,error,error,error,error,error,error,error,error,[' expression bool_expression'],error,[' expression bool_expression'],error,[' expression bool_expression'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' expression bool_expression'],error,error,error,[' expression bool_expression'],error,error,error,[' expression bool_expression'],error,error,[' expression bool_expression'],error,error,error,[' ! expression bool_expression'],error
call_func,error,error,error,error,error,error,error,error,[' ( es )'],[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
num_const,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' INT8'],error,[' INT10'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' INT16'],error,error,error,error,error,error,error,error,error,error,error,error
value_,error,error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,['- item value_'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' + item value_'],error,error,error,error,error,error
equal_op,error,error,error,error,error,error,error,error,error,error,[' +='],error,error,error,[' %='],error,error,[' ='],error,error,error,error,error,error,error,error,error,error,['-='],error,[' /='],error,error,error,error,error,error,error,[' *='],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
init,error,error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,[' = expression'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' [ IDN_NUM ]']
S,error,error,error,[' func funcs'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' func funcs'],error,error,[' func funcs'],error,error,[' func funcs'],error,error,error,error,error,error,error,error,[' func funcs'],[' func funcs'],error,error,[' func funcs'],error,error,error,error,error,error,error,error,error,error
func_body,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' block'],error,error
iteration_stmt,error,error,error,error,error,error,error,[' do block_stmt while ( logical_expression ) ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' for ( isnull_expr1 ; isnull_expr2 ; isnull_expr ) block_stmt'],error,error,[' while ( logical_expression ) block_stmt'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
branch_stmt,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' if ( logical_expression ) block_stmt result'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' switch ( IDN ) { case_stmt case_stmts default_stmt }'],error,error,error,error,error,error,error,error,error,error,error
operation,error,[' compare_op value'],error,[' type IDN init vars ;'],[' compare_op value'],error,[' compare_op value'],error,error,[' $'],[' equal_op value'],error,error,[' compare_op value'],[' equal_op value'],error,error,[' equal_op value'],error,error,error,error,error,error,error,error,[' type IDN init vars ;'],error,[' equal_op value'],[' type IDN init vars ;'],[' equal_op value'],error,[' type IDN init vars ;'],error,error,error,error,error,[' equal_op value'],error,error,[' type IDN init vars ;'],[' type IDN init vars ;'],error,error,[' type IDN init vars ;'],error,error,[' compare_op value'],error,error,[' compare_op value'],error,error,error,error
const,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' num_const'],error,[' num_const'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' STR'],error,error,error,[' num_const'],error,error,error,[' CHAR'],error,error,[' FLOAT'],error,error,error,error,error
IDN_NUM,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,['INT10'],error,['IDN'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
isnull_expr2,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' IDN compare_op IDN_NUM'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
item,error,error,error,error,error,error,error,error,[' factor item_'],error,error,error,error,error,error,error,error,error,[' factor item_'],error,[' factor item_'],error,[' factor item_'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' factor item_'],error,error,error,[' factor item_'],error,error,error,[' factor item_'],error,error,[' factor item_'],error,error,error,error,error
vars,"[' , IDN init vars']",error,error,error,error,error,error,error,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
